children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
,Floor layers except carpet wood and hard tiles    ,22900,49,92,35,low to medium,very high,low to medium,low to medium,,
,Graders and sorters agricultural products    ,38300,15,54,82,very low,medium to high,high,high,,
,Cooks all other    ,21800,9,62,21,very low,medium to high,low,low,,
,Parking attendants    ,149800,100,77,92,very high,high,very high,very high,,
,Insulation workers floor ceiling and wall    ,34000,66,77,44,medium to high,high,low to medium,low to medium,,
,Painting coating and decorating workers    ,12800,84,92,76,very high,very high,high,high,,
,Drywall and ceiling tile installers    ,125100,39,61,35,low to medium,medium to high,low to medium,low to medium,,
,Agricultural equipment operators    ,70300,97,93,93,very high,very high,very high,very high,,
,Artists and related workers all other    ,13100,66,33,52,medium to high,low,medium to high,medium to high,,
,Sewers hand    ,7500,39,61,57,low to medium,medium to high,medium to high,medium to high,,
,Musicians and singers    ,175600,13,9,28,very low,very low,low,low,,
,Farmworkers and laborers crop nursery and greenhouse    ,566500,97,93,93,very high,very high,very high,very high,,
,Motion picture projectionists    ,4700,79,96,76,high,very high,high,high,,
,Maids and housekeeping cleaners    ,1474900,42,97,5,low to medium,very high,very low,very low,,
,Food preparation and serving related workers all other    ,74100,,,,,,,,,
,Refuse and recyclable material collectors    ,133600,93,96,53,very high,very high,medium to high,medium to high,,
,Carpet installers    ,36500,49,92,35,low to medium,very high,low to medium,low to medium,,
,Helpers--painters paperhangers plasterers and stucco masons    ,11000,44,96,14,low to medium,very high,very low,very low,,
,Continuous mining machine operators    ,15000,98,96,89,very high,very high,very high,very high,,
,Bartenders    ,654700,7,84,6,very low,very high,very low,very low,,
,Retail salespersons    ,4371400,2,69,3,very low,high,very low,very low,,
,Dishwashers    ,522300,7,76,7,very low,high,very low,very low,,
,Farmworkers farm ranch and aquacultural animals    ,245400,97,93,93,very high,very high,very high,very high,,
,Tile and stone setters    ,57000,49,92,35,low to medium,very high,low to medium,low to medium,,
,Food processing workers all other    ,44200,90.666664,80.333336,49.666668,very high,high,low to medium,low to medium,,
,Agricultural workers all other    ,12300,97,93,93,very high,very high,very high,very high,,
,Roustabouts oil and gas    ,58500,59,84,53,medium to high,very high,medium to high,medium to high,,
,Crossing guards and flaggers    ,86700,15,10,16,very low,very low,very low,very low,,
Postsecondary nondegree award,Electrical and electronics installers and repairers transportation equipment    ,9200,71,59,84,high,medium to high,very high,very high,level2,
,Firefighters    ,335500,25,51,58,low,medium to high,medium to high,medium to high,,
,Heavy and tractor-trailer truck drivers    ,2029900,75,85,35,high,very high,low to medium,low to medium,,
,Ophthalmic medical technicians    ,59500,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Audiovisual equipment installers and repairers    ,29700,71,59,84,high,medium to high,very high,very high,,
,Automotive service technicians and mechanics    ,756600,24,61,45,low,medium to high,low to medium,low to medium,,
,Motorboat operators    ,2500,79,80,91,high,high,very high,very high,,
,Medical transcriptionists    ,58500,30,57,26,low,medium to high,low,low,,
,Wind turbine service technicians    ,7000,91,84,57,very high,very high,medium to high,medium to high,,
,Medical dosimetrists medical records specialists and health technologists and technicians all other,341600,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Telecommunications equipment installers and repairers except line installers    ,215700,69,68,58,high,high,medium to high,medium to high,,
,Library technicians    ,94100,17,38,9,low,low to medium,very low,very low,,
,Dental assistants    ,354600,62,59,14,medium to high,medium to high,very low,very low,,
,Captains mates and pilots of water vessels    ,38900,79,80,91,high,high,very high,very high,,
,Barbers    ,66500,1,4,2,very low,very low,very low,very low,,
,Aircraft mechanics and service technicians    ,137200,22,77,40,low,high,low to medium,low to medium,,
,Psychiatric technicians    ,82800,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Insurance appraisers auto damage    ,15900,44,18,53,low to medium,low,medium to high,medium to high,,
,Massage therapists    ,166700,21,60,13,low,medium to high,very low,very low,,
,Makeup artists theatrical and performance    ,4700,15,55,28,very low,medium to high,low,low,,
,Computer numerically controlled tool programmers,25700,,,,,,,,,
,Skincare specialists    ,78600,15,55,28,very low,medium to high,low,low,,
,Court reporters and simultaneous captioners,15700,1,1,1,very low,very low,very low,very low,,
,Electrical and electronics repairers commercial and industrial equipment    ,61200,71,59,84,high,medium to high,very high,very high,,
,Audio and video technicians    ,91800,100,77,82,very high,high,high,high,,
,Nursing assistants,1528500,,,,,,,,,
,Prepress technicians and workers    ,30200,91,57,99,very high,medium to high,very high,very high,,
,Tool and die makers    ,72500,59,67,52,medium to high,high,medium to high,medium to high,,
,Manicurists and pedicurists    ,155300,15,55,28,very low,medium to high,low,low,,
,Emergency medical technicians and paramedics,265200,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Phlebotomists    ,132600,30,57,26,low,medium to high,low,low,,
,Fire inspectors and investigators    ,14200,25,51,58,low,medium to high,medium to high,medium to high,,
,Motorcycle mechanics    ,17400,62,66,54,medium to high,medium to high,medium to high,medium to high,,
,Sound engineering technicians    ,15800,100,77,82,very high,high,high,high,,
,Hairdressers hairstylists and cosmetologists    ,656100,15,55,28,very low,medium to high,low,low,,
,Ship engineers    ,8700,64,69,21,medium to high,high,low,low,,
,First-line supervisors of firefighting and prevention workers    ,71500,37,36,58,low to medium,low to medium,medium to high,medium to high,,
,Surgical technologists    ,111300,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Medical assistants    ,725200,30,57,26,low,medium to high,low,low,,
,Commercial divers    ,4000,91,84,57,very high,very high,medium to high,medium to high,,
,Heating air conditioning and refrigeration mechanics and installers    ,376800,47,69,24,low to medium,high,low,low,,
,Health information technologists medical registrars surgical assistants and healthcare practitioners and technical workers all other,59400,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Electrical and electronics repairers powerhouse substation and relay    ,23000,71,59,84,high,medium to high,very high,very high,,
,Licensed practical and licensed vocational nurses    ,721700,44,76,23,low to medium,high,low,low,,
,Cooks private household    ,23800,9,62,21,very low,medium to high,low,low,,
Some college,Computer automated teller and office machine repairers    ,112300,66,68,67,medium to high,high,high,high,level2,
,Computer user support specialists,687200,,,,,,,,,
,Teaching assistants except postsecondary,1395900,7,33,7,very low,low,very low,very low,,
,Bookkeeping accounting and auditing clerks    ,1673600,45,35,14,low to medium,low to medium,very low,very low,,
,Actors    ,70100,32,25,43,low,low,low to medium,low to medium,,
,Order clerks    ,146000,2,1,2,very low,very low,very low,very low,,
